date,race,class,distance,surface,condition,horse_number,horse_name,gear,horse_rating,horse_weight,hcp_weight,c_wt,bar,jockey,trainer,running_position,pl,time,lbw,,,,,,l100m_time_2,l100m_distance_2,off_rail_2,l100m_km_hr_2,,time_2,peak_km_hr_2,avg_km_hr_2,distance_traveled_2,margin_2,finish_3,no_3,horse_name_3,win_div_3,rating_3,c_weight_3,jockey_3,trainer_3,draw_3,running_pos_3,finish_time_3,lbw_3,h_weight_3
01/06/2018,5,C5,1600,P,GOOD,1,ANGHIARI,"TT, EM",43,508,59,59,11,R WOODWORTH,D KOK,10-7-2004,4,1:41.65,2.8,,,ANGHIARI,,,6.72,101,10.5,54.1,,1:41.65,63,57.6,1633,1,4,1,ANGHIARI,$34,43,59,R WOODWORTH,D KOK,11,10-7-2004,1:41.65,2.75L,508kg
01/06/2018,5,C5,1600,P,GOOD,8,BERLINETTA,TT,25,475,50,50,9,APP WH KOK,KY YOUNG,7-6-2005,5,1:41.81,3.8,,,BERLINETTA,,,6.66,101,4.8,54.5,,1:41.81,62.1,57.2,1623,1,5,8,BERLINETTA,$163,25,50,WH KOK,KY YOUNG,9,7-6-2005,1:41.81,3.75L,475kg
01/06/2018,5,C5,1600,P,GOOD,11,GIN GO GIN,B,22,482,50,48.5,8,APP T KRISNA,HW TAN,2-2-2006,6,1:41.98,4.8,,,GIN GO GIN,,,7.01,101,2.4,51.8,,1:41.98,63.9,56.9,1618,1,6,11,GIN GO GIN,$126,22,48.5,T KRISNA,HW TAN,8,2-2-2006,1:41.98,4.75L,482kg
01/06/2018,5,C5,1600,P,GOOD,10,BALKAN CHALLENGER,B,22,447,50,50,6,APP K NUH,L DRAGON,4-5-2007,7,1:42.32,6.8,,,BALKAN CHALLENGER,,,6.95,101,3.8,52.3,,1:42.32,61.5,56.6,1615,2,7,10,BALKAN CHALLENGER,$301,22,50,K NUH,MS L DRAGON,6,4-5-2007,1:42.32,6.75L,447kg
01/06/2018,5,C5,1600,P,GOOD,9,PURE WHITE,"B, TT, EM",23,444,50,50.5,10,M ZAKI,H TAKAOKA,3-3-2008,8,1:42.73,9.3,,,PURE WHITE,,,7.18,101,1.3,50.6,,1:42.73,63,56.8,1625,2 1/2,8,9,PURE WHITE,$43,23,50.5,M ZAKI,H TAKAOKA,10,3-3-2008,1:42.73,9.25L,444kg
01/06/2018,5,C5,1600,P,GOOD,3,MUSCULAR CAPTAIN,B,43,492,59,58,7,APP T SEE,L DRAGON,11-11-2009,9,1:43.23,12.3,,,MUSCULAR CAPTAIN,,,7.24,101,7.8,50.2,,1:43.23,61.5,56.4,1621,3,9,3,MUSCULAR CAPTAIN,$20,43,58,T SEE,MS L DRAGON,7,11-11-2009,1:43.23,12.25L,492kg
01/06/2018,5,C5,1600,P,GOOD,12,KENNEDY,P,22,548,50,50,3,A COLLETT,J O'HARA,6-8-2010,10,1:43.44,13.6,,,KENNEDY,,,7.38,101,1.6,49.2,,1:43.44,61.5,55.9,1610,1 1/4,10,12,KENNEDY,$226,22,50,MS A COLLETT,J O'HARA,3,6-8-2010,1:43.44,13.5L,548kg
01/06/2018,5,C5,1600,P,GOOD,6,GOLD MOSA,B,35,508,55,55,12,I SAIFUDIN,J PETERS,9-9-2011,11,1:43.71,15.4,,,GOLD MOSA,,,7.5,101,10,48.5,,1:43.71,62.1,56.4,1628,1 3/4,11,6,GOLD MOSA,$154,35,55,I SAIFUDIN,J PETERS,12,9-9-2011,1:43.71,15.25L,508kg
01/06/2018,5,C5,1600,P,GOOD,2,DONTLOOKDOWNONME,TT,43,541,59,58,4,M EWE,D KOK,8-10-2012,12,1:46.45,31.9,,,DONTLOOKDOWNONME,,,9.32,101,3.2,39,,1:46.45,62.1,54.4,1613,16 1/2,12,2,DONTLOOKDOWNONME,$55,43,58,M EWE,D KOK,4,8-10-2012,1:46.45,31.75L,541kg
01/06/2018,6,C4,1700,P,GOOD,10,HAPPY SAGA,TT,48,566,52,50,3,APP I AMIRUL,HW TAN,8-10-2001,1,1:47.11,0,,,HAPPY SAGA,,,6.4,100,7.1,56.2,,1:47.11,63.3,57.8,1722,-,1,10,HAPPY SAGA,$52,48,50,I AMIRUL,HW TAN,3,8-10-2001,1:47.11,--,566kg
